client_id,storage,sku_id,item_description,detailed_description,manufacturer,mfg_part_nos,fitment,bom_structure,bom_qty,bom_grp,bom_id,bom_ref,plan_grp
,,10105,LIP SEAL  (SB-2000-026);DANFOSS;5000604,LIP SEAL  (SB-2000-026),DANFOSS,5000604,TANDEM PUMP,CONTROL,1,,N02,,
,,10106,"TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE;DANFOSS;4350732","TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE",DANFOSS,4350732,TANDEM PUMP,CONTROL,0,,N09,,
,,10106,"TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE;DANFOSS;4350732","TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE",DANFOSS,4350732,TANDEM PUMP,CONTROL,0,,N09,,
,,10106,"TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE;DANFOSS;4350732","TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE",DANFOSS,4350732,TANDEM PUMP,CONTROL,0,,Y09,,
,,10106,"TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE;DANFOSS;4350732","TRUNNION COVER ASSEMBLY, CONTROLED ON LEFT SIDE",DANFOSS,4350732,TANDEM PUMP,CONTROL,0,,Y09,,
,,10111,SCREW;DANFOSS;°i16517,SCREW,DANFOSS,°i16517,TANDEM PUMP,COMMON PARTS,8,,,,
,,10111,SCREW;DANFOSS;°i16517,SCREW,DANFOSS,9007276-0135,TANDEM PUMP,COMMON PARTS,8,,,,
,,10114,A PAD SEAL;DANFOSS;4800482,A PAD SEAL,DANFOSS,4800482,TANDEM PUMP,AUXILIARY MOUNTING,1,,514,,
,,10114,A PAD SEAL;DANFOSS;4800482,A PAD SEAL,DANFOSS,4800482,TANDEM PUMP,AUXILIARY MOUNTING,1,,S14,,
,,10114,A PAD SEAL;DANFOSS;4800482,A PAD SEAL,DANFOSS,4800482,TANDEM PUMP,AUXILIARY MOUNTING,1,,S14,,
,,10115,COVER PLATE;DANFOSS;4460586,COVER PLATE,DANFOSS,4460586,TANDEM PUMP,AUXILIARY MOUNTING,1,,SIS,,
,,10115,COVER PLATE;DANFOSS;4460586,COVER PLATE,DANFOSS,4460586,TANDEM PUMP,AUXILIARY MOUNTING,1,,S1S,,
,,10116,SCREW;DANFOSS;049874,SCREW,DANFOSS,049874,TANDEM PUMP,AUXILIARY MOUNTING,2,,S16,,
,,10116,SCREW;DANFOSS;049874,SCREW,DANFOSS,9007200-3716,TANDEM PUMP,AUXILIARY MOUNTING,2,,S16,,
,,10116,SCREW;DANFOSS;049874,SCREW,DANFOSS,049874,TANDEM PUMP,AUXILIARY MOUNTING,2,,S16,,
,,10116,SCREW;DANFOSS;049874,SCREW,DANFOSS,9007200-3716,TANDEM PUMP,AUXILIARY MOUNTING,2,,S16,,
,,10120,CYLINDER BLOCK KIT;DANFOSS;4250062,CYLINDER BLOCK KIT,DANFOSS,4250062,TANDEM PUMP,SPECIAL HARDWARE,2,,B22,,
,,10120,CYLINDER BLOCK KIT;DANFOSS;4250062,CYLINDER BLOCK KIT,DANFOSS,4250062,TANDEM PUMP,SPECIAL HARDWARE,2,,B22,,
,,10120,CYLINDER BLOCK KIT;DANFOSS;4250062,CYLINDER BLOCK KIT,DANFOSS,4250062,TANDEM PUMP,SPECIAL HARDWARE,2,,B22,,
,,10120,CYLINDER BLOCK KIT;DANFOSS;4250062,CYLINDER BLOCK KIT,DANFOSS,4250062,TANDEM PUMP,SPECIAL HARDWARE,2,,B22,,
,,10144,CYLINDER BLOCK;DANFOSS;42°i0095,CYLINDER BLOCK,DANFOSS,42°i0095,TANDEM PUMP,SPECIAL HARDWARE,2,,B24,,
,,10120,CYLINDER BLOCK KIT;DANFOSS;4250062,CYLINDER BLOCK KIT,DANFOSS,4250062,TANDEM PUMP,SPECIAL HARDWARE,2,,B22,,
,,10120,CYLINDER BLOCK KIT;DANFOSS;4250062,CYLINDER BLOCK KIT,DANFOSS,4250062,TANDEM PUMP,SPECIAL HARDWARE,2,,B22,,
,,10121,CYLINDER BLOCK;DANFOSS;4250095,CYLINDER BLOCK,DANFOSS,4250095,TANDEM PUMP,SPECIAL HARDWARE,2,,B24,,
,,10121,CYLINDER BLOCK;DANFOSS;4250095,CYLINDER BLOCK,DANFOSS,4250095,TANDEM PUMP,SPECIAL HARDWARE,2,,B24,,
,,10121,CYLINDER BLOCK;DANFOSS;4250095,CYLINDER BLOCK,DANFOSS,4250095,TANDEM PUMP,SPECIAL HARDWARE,2,,B24,,
,,10121,CYLINDER BLOCK;DANFOSS;4250095,CYLINDER BLOCK,DANFOSS,4250095,TANDEM PUMP,SPECIAL HARDWARE,2,,B24,,
,,10121,CYLINDER BLOCK;DANFOSS;4250095,CYLINDER BLOCK,DANFOSS,4250095,TANDEM PUMP,SPECIAL HARDWARE,2,,B24,,
